ZipCode	Zip Code
HHWHhHisp_Hh25to34y_Usd50kto60k	Households with a householder who is Hispanic or Latino: Householder 25 to 34 years: $50,000 to $59,999
HHWHhHisp_Hh25to34y_Usd60kto75k	Households with a householder who is Hispanic or Latino: Householder 25 to 34 years: $60,000 to $74,999
HHWHhHisp_Hh25to34y_Usd75kto100k	Households with a householder who is Hispanic or Latino: Householder 25 to 34 years: $75,000 to $99,999
HHWHhHisp_Hh25to34y_Usd100kto125k	Households with a householder who is Hispanic or Latino: Householder 25 to 34 years: $100,000 to $124,999
HHWHhHisp_Hh25to34y_Usd125kto150k	Households with a householder who is Hispanic or Latino: Householder 25 to 34 years: $125,000 to $149,999
HHWHhHisp_Hh25to34y_Usd150kto200k	Households with a householder who is Hispanic or Latino: Householder 25 to 34 years: $150,000 to $199,999
HHWHhHisp_Hh25to34y_Usd200korM	Households with a householder who is Hispanic or Latino: Householder 25 to 34 years: $200,000 or more
HHWHhHisp_Hh35to44y	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years:
HHWHhHisp_Hh35to44y_LtUsd10k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: Less than $10,000
HHWHhHisp_Hh35to44y_Usd10kto15k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $10,000 to $14,999
HHWHhHisp_Hh35to44y_Usd15kto20k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $15,000 to $19,999
HHWHhHisp_Hh35to44y_Usd20kto25k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $20,000 to $24,999
HHWHhHisp_Hh35to44y_Usd25kto30k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $25,000 to $29,999
HHWHhHisp_Hh35to44y_Usd30kto35k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $30,000 to $34,999
HHWHhHisp_Hh35to44y_Usd35kto40k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $35,000 to $39,999
HHWHhHisp_Hh35to44y_Usd40kto45k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $40,000 to $44,999
HHWHhHisp_Hh35to44y_Usd45kto50k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $45,000 to $49,999
HHWHhHisp_Hh35to44y_Usd50kto60k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $50,000 to $59,999
HHWHhHisp_Hh35to44y_Usd60kto75k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $60,000 to $74,999
HHWHhHisp_Hh35to44y_Usd75kto100k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $75,000 to $99,999
HHWHhHisp_Hh35to44y_Usd100kto125k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $100,000 to $124,999
HHWHhHisp_Hh35to44y_Usd125kto150k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $125,000 to $149,999
HHWHhHisp_Hh35to44y_Usd150kto200k	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $150,000 to $199,999
HHWHhHisp_Hh35to44y_Usd200korM	Households with a householder who is Hispanic or Latino: Householder 35 to 44 years: $200,000 or more
HHWHhHisp_Hh45to54y	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years:
HHWHhHisp_Hh45to54y_LtUsd10k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: Less than $10,000
HHWHhHisp_Hh45to54y_Usd10kto15k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $10,000 to $14,999
HHWHhHisp_Hh45to54y_Usd15kto20k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $15,000 to $19,999
HHWHhHisp_Hh45to54y_Usd20kto25k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $20,000 to $24,999
HHWHhHisp_Hh45to54y_Usd25kto30k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $25,000 to $29,999
HHWHhHisp_Hh45to54y_Usd30kto35k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $30,000 to $34,999
HHWHhHisp_Hh45to54y_Usd35kto40k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $35,000 to $39,999
HHWHhHisp_Hh45to54y_Usd40kto45k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $40,000 to $44,999
HHWHhHisp_Hh45to54y_Usd45kto50k	Households with a householder who is Hispanic or Latino: Householder 45 to 54 years: $45,000 to $49,999
